numero,en_drive,en_nuevo,estado,archivo_drive,archivo_nuevo
1,True,True,match,reporte_91_1.pdf,n1_Informe-de-adjuntía-Nº-001-2019-DP-APCSG-Los-costos-del-conflicto-social20200803-1197146-1275lpe.pdf
7,True,False,solo_drive,Reporte-46-diciembre-2007.pdf,
10,True,False,solo_drive,reporte-75-2010.pdf,
11,True,False,solo_drive,Reporte-87-mayo-2011.pdf,
12,True,False,solo_drive,febrero 2005 - conflictos_sociales12.pdf,
13,True,False,solo_drive,marzo 2005 - conflictos_sociales13.pdf,
14,True,False,solo_drive,abril 2005 - conflictos_sociales14.pdf,
15,True,False,solo_drive,mayo 2005 - conflictos_sociales15.pdf,
16,True,False,solo_drive,mitad julio 2005 - conflictos_sociales16.pdf,
17,True,False,solo_drive,final julio 2005 - conflictos_sociales17.pdf,
18,True,False,solo_drive,agosto 2005 - conflictos_sociales18.pdf,
19,True,False,solo_drive,setiembre 2005 - conflictos_sociales19.pdf,
20,True,False,solo_drive,octubre 2005 - conflictos_sociales20.pdf,
21,True,False,solo_drive,noviembre 2005 - conflictos_sociales21.pdf,
22,True,False,solo_drive,diciembre 2005 - conflictos_sociales22.pdf,
23,True,True,match,conflictos_sociales23.pdf,conflictos_sociales23.pdf
24,True,True,match,ReporteDeConflictos_abril24.pdf,conflictos_sociales24.pdf
25,True,True,match,conflictos_sociales25.pdf,conflictos_sociales25.pdf
26,True,True,match,conflictos_sociales26.pdf,conflictos_sociales26.pdf
27,True,True,match,conflictos_sociales27.pdf,conflictos_sociales27.pdf
28,True,True,match,conflictos_sociales28.pdf,conflictos_sociales28.pdf
29,True,True,match,conflictos_sociales29.pdf,conflictos_sociales29.pdf
30,True,True,match,conflictos_sociales30.pdf,conflictos_sociales30.pdf
31,True,True,match,conflictos_sociales31.pdf,conflictos_sociales31.pdf
32,True,True,match,conflictos_sociales32.pdf,conflictos_sociales32.pdf
33,True,True,match,conflictos_sociales33.pdf,conflictos_sociales33.pdf
34,True,True,match,Reporte-Mensual-de-Conflictos-Sociales-N-34---Diciembre-2006.pdf,Reporte-Mensual-de-Conflictos-Sociales-N-34---Diciembre-2006.pdf
35,True,True,match,conflictos_sociales35.pdf,conflictos_sociales35.pdf
36,True,True,match,conflictos_sociales36.pdf,conflictos_sociales36.pdf
37,True,True,match,conflictos_sociales37.pdf,conflictos_sociales37.pdf
38,True,True,match,conflictos_sociales38.pdf,conflictos_sociales38.pdf
39,True,True,match,conflictos_sociales39.pdf,conflictos_sociales39.pdf
40,True,True,match,conflictos_sociales40.pdf,conflictos_sociales40.pdf
41,True,True,match,conflictos_sociales41.pdf,conflictos_sociales41.pdf
42,True,True,match,conflictos_sociales42.pdf,conflictos_sociales42.pdf
43,True,True,match,conflictos_sociales43.pdf,conflictos_sociales43.pdf
44,True,True,match,conflictos_sociales44-CS.pdf,conflictos_sociales44-CS.pdf
45,True,True,match,conflictos_sociales45-CS.pdf,conflictos_sociales45-CS.pdf
47,True,True,match,conflictos_sociales47.pdf,conflictos_sociales47.pdf
48,True,True,match,conflictos_sociales48.pdf,conflictos_sociales48.pdf
49,True,True,match,conflictos_sociales49.pdf,conflictos_sociales49.pdf
50,True,True,match,conflictos_sociales50.pdf,conflictos_sociales50.pdf
51,True,True,match,Conflictos-Sociales-51.pdf,Conflictos-Sociales-51.pdf
52,True,True,match,conflictos_sociales52.pdf,conflictos_sociales52.pdf
53,True,True,match,Conflictos-Reporte-53.pdf,Conflictos-Reporte-53.pdf
54,True,True,match,conflictos_sociales54.pdf,conflictos_sociales54.pdf
55,True,True,match,reporte-conflictos-55.pdf,reporte-conflictos-55.pdf
56,True,True,match,reporte-conflictos-56.pdf,reporte-conflictos-56.pdf
57,True,True,match,reporte-conflictos-57.pdf,reporte-conflictos-57.pdf
58,True,True,match,conflictos_reporte_58.pdf,conflictos_reporte_58.pdf
59,True,True,match,reporte_conflictos_59_enero2009.pdf,reporte_conflictos_59_enero2009.pdf
60,True,True,match,Conflictos-Sociales-N°-60-Febrero-2009.pdf,Conflictos-Sociales-N_-60-Febrero-2009.pdf
61,True,True,match,conflictos_reporte_61.pdf,conflictos_reporte_61.pdf
62,True,True,match,conflictos-62.pdf,conflictos-62.pdf
63,True,False,solo_drive,Reporte-63.pdf,
64,True,False,solo_drive,reporte-64.pdf,
65,True,False,solo_drive,reporte-65.pdf,
66,True,False,solo_drive,reporte-66.pdf,
67,True,True,match,conflictos-67.pdf,conflictos-67.pdf
68,True,True,match,Conflictos-Reporte-68.pdf,Conflictos-Reporte-68.pdf
69,True,True,match,reporte-69.pdf,n69_conflictos_reporte_61_marzo2009.pdf
71,True,False,solo_drive,reporte-71.pdf,
72,True,True,match,Conflictos-Reporte72.pdf,Conflictos-Reporte72.pdf
73,True,False,solo_drive,Reporte-73.pdf,
74,True,False,solo_drive,Reporte-74.pdf,
77,True,False,solo_drive,reporte-77.pdf,
78,True,False,solo_drive,reporte-078.pdf,
79,True,True,match,Conflictos-Sociales-N°-79-Septiembre-2010.pdf,Conflictos-Sociales-N_-79-Septiembre-2010.pdf
80,True,False,solo_drive,reporte-80.pdf,
81,True,False,solo_drive,reporte-81.pdf,
82,True,False,solo_drive,reporte-82.pdf,
83,True,False,solo_drive,reporte-83.pdf,
84,True,False,solo_drive,reporte-84.pdf,
85,True,False,solo_drive,reporte_85.pdf,
86,True,False,solo_drive,reporte_86.pdf,
88,True,False,solo_drive,Reporte-88.pdf,
89,True,False,solo_drive,Reporte-89.pdf,
90,True,True,match,Reporte_conflictos_90.pdf,Reporte_conflictos_90.pdf
92,True,False,solo_drive,reporte-menusal-92.pdf,
