archivo,numero,mes,anio,fuente_fecha
3.-Reporte-Mensual-de-Conflictos-Sociales-N_-253-Mar_2025.pdf,253,3,2025,pdf
abril 2004 - Reporte 01 - Conflictos sociales.pdf,1,4,2004,nombre
abril 2005 - conflictos_sociales14.pdf,14,4,2005,nombre
agosto 2004 - Reporte 06 - Conflictos sociales.pdf,6,8,2004,nombre
agosto 2005 - conflictos_sociales18.pdf,18,8,2005,nombre
Conflictos Sociales No 247 - setiembre 2024.pdf,247,9,2024,pdf
conflictos-62.pdf,62,4,2009,pdf
conflictos-67.pdf,67,9,2009,pdf
Conflictos-Reporte-53.pdf,53,7,2008,pdf
Conflictos-Reporte-68.pdf,68,10,2009,pdf
Conflictos-Reporte72.pdf,72,2,2010,pdf
Conflictos-Sociales-51.pdf,51,5,2008,pdf
Conflictos-Sociales-N_-174-Agosto-2018.pdf,174,8,2018,pdf
Conflictos-Sociales-N_-175-Septiembre-2018.pdf,175,9,2018,pdf
Conflictos-Sociales-N_-176-Octubre-2018.pdf,176,10,2018,pdf
Conflictos-Sociales-N_-178-Diciembre-2018.pdf,178,12,2018,pdf
Conflictos-Sociales-N_-179-Enero-2019.pdf,179,1,2019,pdf
Conflictos-Sociales-N_-180-Febrero-2018.pdf,180,2,2019,pdf
Conflictos-Sociales-N_-181-Marzo-2019.pdf,181,3,2019,pdf
Conflictos-Sociales-N_-182-Abril-2019.pdf,182,4,2019,pdf
Conflictos-Sociales-N_-183-Mayo-2019.pdf,183,5,2019,pdf
Conflictos-Sociales-N_-184-Junio-2019.pdf,184,6,2019,pdf
Conflictos-Sociales-N_-188-Octubre-2019.pdf,188,10,2019,pdf
Conflictos-Sociales-N_-191-Enero-2020.pdf,191,1,2020,pdf
Conflictos-Sociales-N_-60-Febrero-2009.pdf,60,2,2009,pdf
Conflictos-Sociales-N_-79-Septiembre-2010.pdf,79,9,2010,pdf
conflictos_reporte_58.pdf,58,12,2008,pdf
conflictos_reporte_61.pdf,61,3,2009,pdf
conflictos_sociales23.pdf,23,1,2006,pdf
conflictos_sociales24.pdf,24,2,2006,pdf
conflictos_sociales25.pdf,25,3,2006,pdf
conflictos_sociales26.pdf,26,4,2006,pdf
conflictos_sociales27.pdf,27,5,2006,pdf
conflictos_sociales28.pdf,28,6,2006,pdf
conflictos_sociales29.pdf,29,7,2006,pdf
conflictos_sociales30.pdf,30,8,2006,pdf
conflictos_sociales31.pdf,31,9,2006,pdf
conflictos_sociales32.pdf,32,10,2006,pdf
conflictos_sociales33.pdf,33,11,2006,pdf
conflictos_sociales35.pdf,35,1,2007,pdf
conflictos_sociales35_especial.pdf,142,1,2007,pdf
conflictos_sociales36.pdf,36,2,2007,pdf
conflictos_sociales37.pdf,37,3,2007,pdf
conflictos_sociales38.pdf,38,4,2007,pdf
conflictos_sociales39.pdf,39,5,2007,pdf
conflictos_sociales40.pdf,40,6,2007,pdf
conflictos_sociales41.pdf,41,7,2007,pdf
conflictos_sociales42.pdf,42,8,2007,pdf
conflictos_sociales43.pdf,43,9,2007,pdf
conflictos_sociales44-CS.pdf,44,10,2007,pdf
conflictos_sociales45-CS.pdf,45,11,2007,pdf
conflictos_sociales47.pdf,47,1,2008,pdf
conflictos_sociales48.pdf,48,2,2008,pdf
conflictos_sociales49.pdf,49,3,2008,pdf
conflictos_sociales50.pdf,50,4,2008,pdf
conflictos_sociales52.pdf,52,6,2008,pdf
conflictos_sociales54.pdf,54,8,2008,pdf
Conflictos_Sociales_N_177_-_Noviembre_2018.pdf,177,11,2018,pdf
Conflictos_Sociales_N_185_-_Julio_2019.pdf,185,7,2019,pdf
Conflictos_Sociales_N_186_-_Agosto_2019.pdf,186,8,2019,pdf
Conflictos_Sociales_N_187_-_Septiembre_2019.pdf,187,9,2019,pdf
Conflictos_Sociales_N_189_-_Noviembre_2019.pdf,189,11,2019,pdf
Conflictos_Sociales_N_190_-_diciembre_2019.pdf,190,12,2019,pdf
diciembre 2004 - Reporte 10 - Conflictos sociales.pdf,10,12,2004,nombre
diciembre 2005 - conflictos_sociales22.pdf,22,12,2005,nombre
enero 2005 - conflictos_sociales11.pdf,11,1,2005,nombre
febrero 2005 - conflictos_sociales12.pdf,12,2,2005,nombre
final julio 2005 - conflictos_sociales17.pdf,17,7,2005,nombre
final junio 2004 - Reporte 04 - Conflictos sociales.pdf,4,6,2004,nombre
julio 2004 - Reporte 05 - Conflictos sociales.pdf,5,7,2004,nombre
marzo 2005 - conflictos_sociales13.pdf,13,3,2005,nombre
mayo 2004 - Reporte 02 - Conflictos sociales.pdf,2,5,2004,nombre
mayo 2005 - conflictos_sociales15.pdf,15,5,2005,nombre
mitad julio 2005 - conflictos_sociales16.pdf,16,7,2005,nombre
mitad junio 2004 - Reporte 03 - Conflictos sociales.pdf,3,6,2004,nombre
n241_ReporteConflictos_marzo2024.pdf,241,3,2024,pdf
noviembre 2004 - Reporte 09 - Conflictos sociales.pdf,9,11,2004,nombre
noviembre 2005 - conflictos_sociales21.pdf,21,11,2005,nombre
octubre 2004 - Reporte 08 - Conflictos sociales.pdf,8,10,2004,nombre
octubre 2005 - conflictos_sociales20.pdf,20,10,2005,nombre
RCS-N-252-Feb-2025.pdf,252,2,2025,pdf
reporte-078.pdf,78,8,2010,pdf
Reporte-46-diciembre-2007.pdf,46,12,2007,pdf
Reporte-63.pdf,63,5,2009,pdf
reporte-64.pdf,64,6,2009,pdf
reporte-65.pdf,65,7,2009,pdf
reporte-66.pdf,66,8,2009,pdf
reporte-69.pdf,69,11,2009,pdf
reporte-71.pdf,71,1,2010,pdf
Reporte-73.pdf,73,3,2010,pdf
Reporte-74.pdf,74,4,2010,pdf
reporte-75-2010.pdf,75,5,2010,pdf
reporte-76-2010.pdf,76,6,2010,pdf
reporte-77.pdf,77,7,2010,pdf
reporte-80.pdf,80,10,2010,pdf
reporte-81.pdf,81,11,2010,pdf
reporte-82.pdf,82,12,2010,pdf
reporte-83.pdf,83,1,2011,pdf
reporte-84.pdf,84,2,2011,pdf
Reporte-87-mayo-2011.pdf,87,5,2011,pdf
Reporte-88.pdf,88,6,2011,pdf
Reporte-89.pdf,89,7,2011,pdf
reporte-conflictos-55.pdf,55,9,2008,pdf
reporte-conflictos-56.pdf,56,10,2008,pdf
reporte-conflictos-57.pdf,57,11,2008,pdf
Reporte-conflictos-93.pdf,93,11,2011,pdf
Reporte-Conflictos-Sociales-249-Noviembre-2024.pdf,249,11,2024,pdf
Reporte-Conflictos-Sociales-250-Diciembre-2024.pdf,250,12,2024,pdf
Reporte-Conflictos-Sociales-N-261-Noviembre-2025.pdf,261,11,2025,pdf
Reporte-Conflictos-Sociales-N-263-Enero-2026.pdf,263,1,2026,pdf
Reporte-de-conflictos-N-94.pdf,94,12,2011,pdf
Reporte-de-Conflictos-Sociales-n-264-febrero-26.pdf,264,2,2026,pdf
Reporte-de-Conflictos-Sociales-n-265-VF.pdf,265,3,2026,pdf
Reporte-de-Conflictos-Sociales-n-266-VF.pdf,266,4,2026,pdf
Reporte-de-Conflictos-Sociales-n-267-VF.pdf,267,5,2026,pdf
Reporte-de-Conflictos-Sociales-n-268.pdf,268,6,2026,pdf
Reporte-de-Conflictos-Sociales-n-269.pdf,269,7,2026,pdf
Reporte-de-Conflictos-Sociales-N-96-Febrero-2012.pdf,96,2,2012,pdf
Reporte-de-Conflictos-Sociales-N-97-Marzo-2012.pdf,97,3,2012,pdf
Reporte-de-Conflictos-Sociales-n._-245-julio-2024.pdf,245,7,2024,pdf
Reporte-de-conflictos-sociales-n.o-255-_-mayo-2025.pdf,255,5,2025,pdf
Reporte-de-conflictos-sociales-n.o-256-_-junio-2025.pdf,256,6,2025,pdf
Reporte-de-conflictos-sociales-n.o-257-_-julio-2025.pdf,257,7,2025,pdf
Reporte-de-conflictos-sociales-n.o-258-_-agosto-2025.pdf,258,8,2025,pdf
Reporte-de-conflictos-sociales-n.o-262-_-diciembre-2025.pdf,262,12,2025,pdf
Reporte-de-Conflictos-Sociales-N_-259.pdf,259,9,2025,pdf
Reporte-de-Mensual-Conflictos-Sociales-N-100-Junio-2012.pdf,100,6,2012,pdf
reporte-diciembre.pdf,70,12,2009,pdf
Reporte-M.-de-Conflictos-Sociales-N-105-Noviembre-2012.pdf,105,11,2012,pdf
Reporte-M.-de-Conflictos-Sociales-N-106-Diciembre-2012.pdf,106,12,2012,pdf
Reporte-M.-de-Conflictos-Sociales-N-107-Ene-2013.pdf,107,1,2013,pdf
Reporte-M.-de-Conflictos-Sociales-N-108-Feb-2013.pdf,108,2,2013,pdf
Reporte-M.-de-Conflictos-Sociales-N-109-Mar-2013.pdf,109,3,2013,pdf
Reporte-M.-de-Conflictos-Sociales-N-110-Abr-2013.pdf,110,4,2013,pdf
