origen,archivo,numero,mes,anio,fuente_fecha,chars_portada
nuevo,3.-Reporte-Mensual-de-Conflictos-Sociales-N_-253-Mar_2025.pdf,253,3,2025,pdf,3458
nuevo,conflictos-62.pdf,62,4,2009,pdf,2490
nuevo,conflictos-67.pdf,67,9,2009,pdf,2663
nuevo,Conflictos-Reporte-53.pdf,53,7,2008,pdf,4648
nuevo,Conflictos-Reporte-68.pdf,68,10,2009,pdf,2659
nuevo,Conflictos-Reporte72.pdf,72,2,2010,pdf,2185
nuevo,Conflictos-Sociales-51.pdf,51,5,2008,pdf,4275
nuevo,Conflictos-Sociales-N_-174-Agosto-2018.pdf,174,8,2018,pdf,4162
nuevo,Conflictos-Sociales-N_-175-Septiembre-2018.pdf,175,9,2018,pdf,4392
nuevo,Conflictos-Sociales-N_-176-Octubre-2018.pdf,176,10,2018,pdf,4189
nuevo,Conflictos-Sociales-N_-178-Diciembre-2018.pdf,178,12,2018,pdf,4174
nuevo,Conflictos-Sociales-N_-179-Enero-2019.pdf,179,1,2019,pdf,4206
nuevo,Conflictos-Sociales-N_-180-Febrero-2018.pdf,180,2,2019,pdf,4178
nuevo,Conflictos-Sociales-N_-181-Marzo-2019.pdf,181,3,2019,pdf,4202
nuevo,Conflictos-Sociales-N_-182-Abril-2019.pdf,182,4,2019,pdf,4182
nuevo,Conflictos-Sociales-N_-183-Mayo-2019.pdf,183,5,2019,pdf,4188
nuevo,Conflictos-Sociales-N_-184-Junio-2019.pdf,184,6,2019,pdf,4184
nuevo,Conflictos-Sociales-N_-188-Octubre-2019.pdf,188,10,2019,pdf,4194
nuevo,Conflictos-Sociales-N_-191-Enero-2020.pdf,191,1,2020,pdf,4137
nuevo,Conflictos-Sociales-N_-60-Febrero-2009.pdf,60,2,2009,pdf,2346
nuevo,Conflictos-Sociales-N_-79-Septiembre-2010.pdf,79,9,2010,pdf,2237
nuevo,conflictos_reporte_58.pdf,58,12,2008,pdf,2568
nuevo,conflictos_reporte_61.pdf,61,3,2009,pdf,2483
nuevo,conflictos_sociales23.pdf,23,1,2006,pdf,3779
nuevo,conflictos_sociales24.pdf,24,2,2006,pdf,3869
nuevo,conflictos_sociales25.pdf,25,3,2006,pdf,4645
nuevo,conflictos_sociales26.pdf,26,4,2006,pdf,4889
nuevo,conflictos_sociales27.pdf,27,5,2006,pdf,4424
nuevo,conflictos_sociales28.pdf,28,6,2006,pdf,3907
nuevo,conflictos_sociales29.pdf,29,7,2006,pdf,4315
nuevo,conflictos_sociales30.pdf,30,8,2006,pdf,4596
nuevo,conflictos_sociales31.pdf,31,9,2006,pdf,4645
nuevo,conflictos_sociales32.pdf,32,10,2006,pdf,4532
nuevo,conflictos_sociales33.pdf,33,11,2006,pdf,3799
nuevo,conflictos_sociales35.pdf,35,1,2007,pdf,7464
nuevo,conflictos_sociales35_especial.pdf,142,1,2007,pdf,2597
nuevo,conflictos_sociales36.pdf,36,2,2007,pdf,6169
nuevo,conflictos_sociales37.pdf,37,3,2007,pdf,6370
nuevo,conflictos_sociales38.pdf,38,4,2007,pdf,6377
nuevo,conflictos_sociales39.pdf,39,5,2007,pdf,5144
nuevo,conflictos_sociales40.pdf,40,6,2007,pdf,5002
nuevo,conflictos_sociales41.pdf,41,7,2007,pdf,5484
nuevo,conflictos_sociales42.pdf,42,8,2007,pdf,4858
nuevo,conflictos_sociales43.pdf,43,9,2007,pdf,4736
nuevo,conflictos_sociales44-CS.pdf,44,10,2007,pdf,4928
nuevo,conflictos_sociales45-CS.pdf,45,11,2007,pdf,4779
nuevo,conflictos_sociales47.pdf,47,1,2008,pdf,5199
nuevo,conflictos_sociales48.pdf,48,2,2008,pdf,5483
nuevo,conflictos_sociales49.pdf,49,3,2008,pdf,5215
nuevo,conflictos_sociales50.pdf,50,4,2008,pdf,4438
nuevo,conflictos_sociales52.pdf,52,6,2008,pdf,4410
nuevo,conflictos_sociales54.pdf,54,8,2008,pdf,4838
nuevo,Conflictos_Sociales_N_177_-_Noviembre_2018.pdf,177,11,2018,pdf,4188
nuevo,Conflictos_Sociales_N_185_-_Julio_2019.pdf,185,7,2019,pdf,4185
nuevo,Conflictos_Sociales_N_186_-_Agosto_2019.pdf,186,8,2019,pdf,4181
nuevo,Conflictos_Sociales_N_187_-_Septiembre_2019.pdf,187,9,2019,pdf,4185
nuevo,Conflictos_Sociales_N_189_-_Noviembre_2019.pdf,189,11,2019,pdf,4197
nuevo,Conflictos_Sociales_N_190_-_diciembre_2019.pdf,190,12,2019,pdf,4211
nuevo,n1_Informe-de-adjuntía-Nº-001-2019-DP-APCSG-Los-costos-del-conflicto-social20200803-1197146-1275lpe.pdf,1,,,sin_fecha,0
nuevo,n241_ReporteConflictos_marzo2024.pdf,241,3,2024,pdf,3161
nuevo,n242_ReporteDeConflictos_abril24.pdf,242,4,2024,pdf,3167
nuevo,n69_conflictos_reporte_61_marzo2009.pdf,61,3,2009,pdf,2483
nuevo,reporte-conflictos-55.pdf,55,9,2008,pdf,5145
nuevo,reporte-conflictos-56.pdf,56,10,2008,pdf,2845
nuevo,reporte-conflictos-57.pdf,57,11,2008,pdf,5783
nuevo,Reporte-conflictos-93.pdf,93,11,2011,pdf,3989
nuevo,Reporte-Conflictos-Sociales-250-Diciembre-2024.pdf,250,12,2024,pdf,3430
nuevo,Reporte-de-conflictos-N-94.pdf,94,12,2011,pdf,3993
nuevo,Reporte-de-Conflictos-Sociales-n-264-febrero-26.pdf,264,2,2026,pdf,3281
nuevo,Reporte-de-Conflictos-Sociales-n-265-VF.pdf,265,3,2026,pdf,3269
nuevo,Reporte-de-Conflictos-Sociales-n-266-VF.pdf,266,4,2026,pdf,3289
nuevo,Reporte-de-Conflictos-Sociales-n-267-VF.pdf,267,5,2026,pdf,3265
nuevo,Reporte-de-Conflictos-Sociales-n-268.pdf,268,6,2026,pdf,3278
nuevo,Reporte-de-Conflictos-Sociales-n-269.pdf,269,7,2026,pdf,3259
nuevo,Reporte-de-Conflictos-Sociales-N-96-Febrero-2012.pdf,96,2,2012,pdf,4034
nuevo,Reporte-de-Conflictos-Sociales-N-97-Marzo-2012.pdf,97,3,2012,pdf,3984
nuevo,Reporte-de-Conflictos-Sociales-n._-245-julio-2024.pdf,245,7,2024,pdf,3243
nuevo,Reporte-de-conflictos-sociales-n.º-255-_-mayo-2025.pdf,255,5,2025,pdf,3456
nuevo,Reporte-de-conflictos-sociales-n.º-256-_-junio-2025.pdf,256,6,2025,pdf,3414
nuevo,Reporte-de-conflictos-sociales-n.º-257-_-julio-2025.pdf,257,7,2025,pdf,3384
nuevo,Reporte-de-conflictos-sociales-n.º-258-_-agosto-2025.pdf,258,8,2025,pdf,3459
nuevo,Reporte-de-conflictos-sociales-n.º-262-_-diciembre-2025.pdf,262,12,2025,pdf,3320
nuevo,Reporte-de-Conflictos-Sociales-N_-259.pdf,259,9,2025,pdf,3385
nuevo,Reporte-de-Mensual-Conflictos-Sociales-N-100-Junio-2012.pdf,100,6,2012,pdf,4010
nuevo,Reporte-M.-de-Conflictos-Sociales-N-105-Noviembre-2012.pdf,105,11,2012,pdf,4084
nuevo,Reporte-M.-de-Conflictos-Sociales-N-106-Diciembre-2012.pdf,106,12,2012,pdf,4056
nuevo,Reporte-M.-de-Conflictos-Sociales-N-107-Ene-2013.pdf,107,1,2013,pdf,4024
nuevo,Reporte-M.-de-Conflictos-Sociales-N-108-Feb-2013.pdf,108,2,2013,pdf,3986
nuevo,Reporte-M.-de-Conflictos-Sociales-N-109-Mar-2013.pdf,109,3,2013,pdf,4005
nuevo,Reporte-M.-de-Conflictos-Sociales-N-110-Abr-2013.pdf,110,4,2013,pdf,3990
nuevo,Reporte-M.-de-Conflictos-Sociales-N-111-Mayo2013.pdf,111,5,2013,pdf,4045
nuevo,Reporte-M.-de-Conflictos-Sociales-N-112-Junio-2013.pdf,112,6,2013,pdf,4031
nuevo,Reporte-M.-de-Conflictos-Sociales-N-99-May-2012.pdf,99,5,2012,pdf,4010
nuevo,Reporte-Mensual-Conflictos-Sociales-125-Julio-2014.pdf,125,7,2014,pdf,4005
nuevo,Reporte-Mensual-de-Conflictos-Sociales-N-101-Julio-12.pdf,101,7,2012,pdf,4010
nuevo,Reporte-Mensual-de-Conflictos-Sociales-N-102-Ago-12.pdf,102,8,2012,pdf,4005
