archivo,numero,mes,anio,formato,paginas,ancho,alto,chars_p1,imgs_p1,dibujos_p1,fuente_p1,escaneado
3.-Reporte-Mensual-de-Conflictos-Sociales-N_-253-Mar_2025.pdf,253,3,2025,infografia_ciclo_2024,114,595,842,1375,5,12,FranklinGothic-Book,0
abril 2004 - Reporte 01 - Conflictos sociales.pdf,1,4,2004,lista_narrativa_2004,11,595,842,904,1,4,Arial,0
abril 2005 - conflictos_sociales14.pdf,14,4,2005,reporte_n_tabla_regiones,37,595,842,2128,0,84,ArialNarrow,0
agosto 2004 - Reporte 06 - Conflictos sociales.pdf,6,8,2004,reporte_n_tabla_regiones,33,595,842,3061,0,244,Arial Narrow,0
agosto 2005 - conflictos_sociales18.pdf,18,8,2005,reporte_n_tabla_regiones,39,595,842,2063,0,86,Arial,0
Conflictos Sociales No 247 - setiembre 2024.pdf,247,9,2024,infografia_ciclo_2024,150,595,842,1164,5,14,FranklinGothic-Book,0
conflictos-62.pdf,62,4,2009,unidad_sumilla,74,595,842,1767,0,26,FranklinGothic-Medium,0
conflictos-67.pdf,67,9,2009,adjuntia_portada_estadistica,88,595,842,1895,0,27,FranklinGothicMedium,0
Conflictos-Reporte-53.pdf,53,7,2008,unidad_sumilla,50,595,842,1756,0,22,Franklin Gothic Book,0
Conflictos-Reporte-68.pdf,68,10,2009,adjuntia_portada_estadistica,88,595,842,1897,0,27,FranklinGothicMedium,0
Conflictos-Reporte72.pdf,72,2,2010,adjuntia_portada_estadistica,61,595,842,584,10,15,ArialMT,0
Conflictos-Sociales-51.pdf,51,5,2008,unidad_sumilla,41,595,842,1710,0,22,FranklinGothic-Book,0
Conflictos-Sociales-N_-174-Agosto-2018.pdf,174,8,2018,adjuntia_portada_estadistica,108,595,842,939,5,14,Franklin Gothic Book,0
Conflictos-Sociales-N_-175-Septiembre-2018.pdf,175,9,2018,adjuntia_portada_estadistica,123,595,842,1116,5,14,FranklinGothic-Book,0
Conflictos-Sociales-N_-176-Octubre-2018.pdf,176,10,2018,adjuntia_portada_estadistica,106,595,842,970,6,14,Franklin Gothic Book,0
Conflictos-Sociales-N_-178-Diciembre-2018.pdf,178,12,2018,adjuntia_portada_estadistica,110,595,842,959,6,14,Franklin Gothic Book,0
Conflictos-Sociales-N_-179-Enero-2019.pdf,179,1,2019,adjuntia_portada_estadistica,112,595,842,971,5,14,FranklinGothic-Book,0
Conflictos-Sociales-N_-180-Febrero-2018.pdf,180,2,2019,adjuntia_portada_estadistica,109,595,842,945,5,14,FranklinGothic-Book,0
Conflictos-Sociales-N_-181-Marzo-2019.pdf,181,3,2019,adjuntia_portada_estadistica,117,595,842,968,5,14,FranklinGothic-Book,0
Conflictos-Sociales-N_-182-Abril-2019.pdf,182,4,2019,adjuntia_portada_estadistica,115,595,842,950,5,14,FranklinGothic-Book,0
Conflictos-Sociales-N_-183-Mayo-2019.pdf,183,5,2019,adjuntia_portada_estadistica,113,595,842,960,6,14,Franklin Gothic Book,0
Conflictos-Sociales-N_-184-Junio-2019.pdf,184,6,2019,adjuntia_portada_estadistica,108,595,842,960,6,14,Franklin Gothic Book,0
Conflictos-Sociales-N_-188-Octubre-2019.pdf,188,10,2019,adjuntia_portada_estadistica,110,595,842,976,6,14,Franklin Gothic Book,0
Conflictos-Sociales-N_-191-Enero-2020.pdf,191,1,2020,adjuntia_portada_estadistica,124,595,842,915,5,14,Franklin Gothic Book,0
