Grupo,CasoResumidoChatGPT,EsMinera,EsIlegal,EsInformal,Pueblos,Minas,Compañía minera,Completo,PrimeraFecha_min,UltimaFecha_max,GrupoID,Departamento,Tipo_estandarizado,Caso,Actores,Actores primarios,Actores secundarios,Actores terciarios,caso_id,n_meses,n_filas_panel,numero_reporte_min,numero_reporte_max,es_socioambiental,menciona_mineria,ubicacion,fuente_resumen,caso_estandarizado
Caso_3702,La población de la cuenca del Río Ayash reclama atención a los impactos a la salud y el ambiente ante la denuncia que el río se encuentra contaminado por vertimiento de relaves de la empresa minera Antamina.,Sí,No,No,"Comunidad Campesina Andrés Avelino Cáceres de Cuncashca, distrito de Jangas, provincia de Huaraz","['Antamina', 'Pierina']","['Antamina', 'Barrick']",1,2010-09-30,2014-12-31,Caso_3702,,SOCIOAMBIENTAL,"La población de la cuenca del Río Ayash reclama atención a los impactos a la salud y el ambiente ante la denuncia que el río se encuentra contaminado por vertimiento de relaves de la empresa minera Antamina. Además, demandan que la compañía minera concrete su aporte al desarrollo local","Nacional del Agua (ANA), Organismo de Evaluación y Fiscalización Ambiental (OEFA), Organismo Supervisor de la Inversión en Minería y Energía (OSINERGMIN), Centro Nacional de Salud Ocupacional y Protección del Ambiente para la Salud (CENSOPAS), Instituto Nacional de Defensa Civil (INDECI), Centro Nacional de Estimación, Prevención y Reducción del Riesgo de Desastres (CENEPRED)","Comunidad Ayash Huaripampa, Comunidad Santa Cruz Pichiú, Compañía Minera Antamina S.A. (CMA), Asociación multisectorial para el desarrollo sostenible de Ayash (ASODESO)","Comité de Seguimiento a la Salud Humana (COSESH) de la cuenca del Rio Ayash (integrado por la Gerencia de Recursos Naturales y Gestión del Medio Ambiente del Gobierno Regional de Áncash), Dirección Regional de Salud de Áncash (DIRESA), Dirección Ejecutiva de Salud Ambiental (DESA); Autoridad Nacional del Agua (ANA), Organismo de Evaluación y Fiscalización Ambiental (OEFA), Organismo Supervisor de la Inversión en Minería y Energía (OSINERGMIN), Centro Nacional de Salud Ocupacional y Protección del Ambiente para la Salud (CENSOPAS), Instituto Nacional de Defensa Civil (INDECI), Centro Nacional de Estimación, Prevención y Reducción del Riesgo de Desastres (CENEPRED)","Oficina Nacional de Diálogo y Sostenibilidad de la Presidencia del Consejo de Ministros (ONDS), Oficina General de Gestión Social del MINEM (OGGS), Defensoría del Pueblo",3702,40,40,79,130,1,1,"Comunidad Campesina Andrés Avelino Cáceres de Cuncashca, distrito de Jangas, provincia de Huaraz",extractivo_caso (no ChatGPT),poblacion cuenca rio ayash reclama atencion impactos salud ambiente ante denuncia rio encuentra contaminado vertimiento relaves empresa minera antamina ademas demandan compania minera concrete su aporte desarrollo local
Caso_3925,La Comunidad Campesina de Cajacay exige a Compañía Minera Antamina S.A. (CMA) asuma responsabilidades por el derrame de mineral (cobre y otros) ocurrido con fecha 25 de,Sí,No,No,"Comunidad Campesina Mareniyoc, distrito Jangas, provincia Huaraz","['Antamina', 'Pierina']","['Antamina', 'Barrick']",1,2014-04-30,2014-04-30,Caso_3925,,SOCIOAMBIENTAL,La Comunidad Campesina de Cajacay exige a Compañía Minera Antamina S.A. (CMA) asuma responsabilidades por el derrame de mineral (cobre y otros) ocurrido con fecha 25 de,,Junta Administradora de Servicios de Saneamiento (JASS) Mareniyoc y Empresa Minera Barrick Misquichilca S.A. (MBM),"Autoridad Local del Agua (ALA) Huaraz, Ministerio de Energía y Minas (MINEM). julio de 2012 en el Caserío de Santa Rosa del distrito de Cajacay, producto de la rotura del codo de una de las válvulas del mineroducto (VS1)","Oficina Nacional de Diálogo y Sostenibilidad (ONDS), Defensoría del Pueblo. los grupos técnicos de trabajo de la mesa de Cajacay. El Grupo Técnico de Salud acordó que el CENAN evaluará el producto alternativo presentado por Antamina para poder utilizarlo en la intervención con micronutrientes en Cajacay. El MINSA informó que la campaña de salud especializada ha sido reprogramada para el 12, 13 y 14 de junio. El Grupo Técnico Ambiental acordó elaborar programas ambientales educativos por lo que se reunirán los representantes del MINAM, comunidad y Antamina. En el Grupo Técnico Agropecuario, Antamina expuso los avances de los proyectos que están comprendidos en el Plan de Desarrollo Agropecuario y PCM se compromete a convocar próximamente una reunión con representantes de AGROIDEAS, Mi Riego y Dirección General de Infraestructura Hidráulica-DGIH",3925,1,1,122,122,1,1,"Comunidad Campesina Mareniyoc, distrito Jangas, provincia Huaraz",extractivo_caso (no ChatGPT),comunidad campesina cajacay exige compania minera antamina s cma asuma responsabilidades derrame mineral cobre otros ocurrido fecha 25
Caso_3689,REACTIVADO,Sí,No,No,"Caserío San Antonio de Juprog, distrito de San Marcos, provincia de Huari",['Antamina'],['Antamina'],1,2008-06-30,2010-02-28,Caso_3689,,SOCIOAMBIENTAL,REACTIVADO,"Pobladores/as del Caserío “San Antonio de Juprog”, Compañía Minera “Antamina” S.A. y Policía Nacional del Perú– DIVOES (LIMA)","Comunidad de Ayash Pichiú, Comunidad de Santa Cruz Pichiú, Compañía Minera Antamina (CMA)","Comité de Seguimiento a la Salud Humana (COSESH) de la cuenca del Rio Ayash, que está integrado por la Gerencia de Recursos Naturales y Gestión del Medio Ambiente del Gobierno Regional de Ancash, Dirección Regional de Salud de Ancash, Dirección Ejecutiva de Salud Ambiental",,3689,2,2,52,72,1,1,"Caserío San Antonio de Juprog, distrito de San Marcos, provincia de Huari",extractivo_caso (no ChatGPT),reactivado
Caso_3690,Conflicto por presunto incumplimiento de empresa Antamina y posible contaminación minera,Sí,No,No,"Caserío San Antonio de Juprog, distrito de San Marcos, provincia de Huari",['Antamina'],['Antamina'],1,2008-07-31,2008-07-31,Caso_3690,,SOCIOAMBIENTAL,Conflicto por presunto incumplimiento de empresa Antamina y posible contaminación minera,"Pobladores/as del Caserío “San Antonio de Juprog”, Compañía Minera “Antamina” S.A. y Policía Nacional del Perú– DIVOES (LIMA)",,,,3690,1,1,53,53,1,1,"Caserío San Antonio de Juprog, distrito de San Marcos, provincia de Huari",extractivo_caso (no ChatGPT),conflicto presunto incumplimiento empresa antamina posible contaminacion minera
Caso_3694,La Comunidad Campesina de Cajacay exige al Gobierno Regional y a la Cía. Minera Antamina la ejecución de una presa para la irrigación de sus tierras,Sí,No,No,"Provincia de Bolognesi, distrito Cajacay",['Antamina'],['Antamina'],1,2010-02-28,2010-09-30,Caso_3694,,GOBIERNO REGIONAL,La Comunidad Campesina de Cajacay exige al Gobierno Regional y a la Cía. Minera Antamina la ejecución de una presa para la irrigación de sus tierras,,"Gobierno Regional de Ancash, Comunidad Campesina de Cajacay y Cía. Minera Antamina","Municipalidad Distrital de Cajacay y Gobernador, Cía. Minera Antamina",Ministerio Público y Policía Nacional del Perú,3694,2,2,72,79,0,1,"Provincia de Bolognesi, distrito Cajacay",extractivo_caso (no ChatGPT),comunidad campesina cajacay exige gobierno regional cia minera antamina ejecucion presa para irrigacion sus tierras
Caso_3695,"Pobladores y autoridades del CP de Racrachaca exigen a Compañía Minera Antamina la suscripción de un convenio marco de relación institucional para recibir el apoyo de la compañía minera, debido a que consideran se encuentran en el área de influencia",Sí,No,No,"Centro Poblado de Racrachaca, distrito de Aquia, provincia de Bolognesi",['Antamina'],['Antamina'],1,2010-02-28,2010-09-30,Caso_3695,,SOCIOAMBIENTAL,"Pobladores y autoridades del CP de Racrachaca exigen a Compañía Minera Antamina la suscripción de un convenio marco de relación institucional para recibir el apoyo de la compañía minera, debido a que consideran se encuentran en el área de influencia","Centro Poblado Racrachaca, Comunidad Campesina de Racrachaca, Comunidad Campesina de Aquia, Compañía Minera Antamina S.A., Gobierno Regional de Ancash","Centro Poblado Racrachaca, Comunidad Campesina de Racrachaca, Comunidad Campesina de Aquia, Compañía Minera Antamina S.A",Gobierno Regional de Ancash,,3695,2,2,72,79,1,1,"Centro Poblado de Racrachaca, distrito de Aquia, provincia de Bolognesi",extractivo_caso (no ChatGPT),pobladores autoridades cp racrachaca exigen compania minera antamina suscripcion convenio marco relacion institucional para recibir apoyo compania minera debido consideran encuentran area influencia
Caso_3696,"Pobladores del C.P. de Carhuayoc y de la comunidad de Ango Raju denuncian contaminación y peligro ambiental por absorción y bombeo, y el posible drenaje de la Laguna Condorcocha y destrucción del lugar turístico del Cerro Cóndor por remoción de tierra y voladura de rocas realizadas por la Compañía Antamina",Sí,No,No,"Centro Poblado de Carhuayoc, distrito de San Marcos, provincia de Huari",['Antamina'],['Antamina'],1,2010-02-28,2010-09-30,Caso_3696,,SOCIOAMBIENTAL,"Pobladores del C.P. de Carhuayoc y de la comunidad de Ango Raju denuncian contaminación y peligro ambiental por absorción y bombeo, y el posible drenaje de la Laguna Condorcocha y destrucción del lugar turístico del Cerro Cóndor por remoción de tierra y voladura de rocas realizadas por la Compañía Antamina",,"Comunidad Campesina de Ango Raju, Pobladores del Centro Poblado de Carhuayoc, Frente de Defensa de los Intereses de Desarrollo del Centro Poblado Carhuayoc FEDIP, Compañía Minera Antamina S.A","Compañía Minera Contonga, Asociación Juventud Carhuayina, Asociación Hijos de Carhuayoc. de San Marcos, provincia de Huari",,3696,2,2,72,79,1,1,"Centro Poblado de Carhuayoc, distrito de San Marcos, provincia de Huari",extractivo_caso (no ChatGPT),pobladores c p carhuayoc comunidad ango raju denuncian contaminacion peligro ambiental absorcion bombeo posible drenaje laguna condorcocha destruccion lugar turistico cerro condor remocion tierra voladura rocas realizadas compania antamina
Caso_3706,"La Comunidad Campesina de Cajacay exige al Gobierno Regional y a la Compañía Minera Antamina SA. (CMA) la ejecución de una presa para la irrigación de sus tierras, conforme a un compromiso suscrito en el año 2000.",Sí,No,No,"Provincia de Bolognesi, distrito Cajacay",['Antamina'],['Antamina'],1,2011-08-31,2013-05-31,Caso_3706,,GOBIERNO REGIONAL,"La Comunidad Campesina de Cajacay exige al Gobierno Regional y a la Compañía Minera Antamina SA. (CMA) la ejecución de una presa para la irrigación de sus tierras, conforme a un compromiso suscrito en el año 2000. La compañía se comprometió a realizar los estudios de preinversión y el Gobierno Regional a financiar el proyecto",,Gobierno Regional de Ancash y Comunidad Campesina de Cajacay,"Cía. Minera Antamina, Municipalidad Distrital de Cajacay y Gobernador distrital","Ministerio Público y Ministerio de Economía y Finanzas. Ancash, Arequipa, Ayacucho, Cusco, Huánuco, Ica, Lima, Piura, Tacna.: Uno (1) Conflicto laboral",3706,22,22,90,111,0,1,"Provincia de Bolognesi, distrito Cajacay",extractivo_caso (no ChatGPT),comunidad campesina cajacay exige gobierno regional compania minera antamina sa cma ejecucion presa para irrigacion sus tierras conforme compromiso suscrito ano 2000 compania comprometio realizar estudios preinversion gobierno regional financiar proyecto
Caso_3708,"Pobladores y autoridades del Centro Poblado de Racrachaca exigen a Compañía Minera Antamina (CMA) la suscripción de un convenio marco de relación institucional para recibir apoyo de la empresa, debido a que se encuentran en el área de influencia.",Sí,No,No,"Centro Poblado de Racrachaca, distrito de Aquia, provincia de Bolognesi",['Antamina'],['Antamina'],1,2011-08-31,2012-11-30,Caso_3708,,SOCIOAMBIENTAL,"Pobladores y autoridades del Centro Poblado de Racrachaca exigen a Compañía Minera Antamina (CMA) la suscripción de un convenio marco de relación institucional para recibir apoyo de la empresa, debido a que se encuentran en el área de influencia. Del mismo modo, la comunidad campesina de Racrachaca exige a Compañía Minera Antamina y al comité regional de Defensa Civil la realización del estudio de riesgos para prevenir algún desastre en la zona por los derrumbes y deslizamientos que se producen en época de lluvias",,"Centro Poblado Racrachaca, Comunidad Campesina de Racrachaca, Comunidad Campesina de Aquia, Compañía Minera Antamina S.A. (CMA)","Gobierno Regional de Ancash, empresa Hidrandina","Oficina General de Gestión Social del Ministerio de Energía y Minas (OGGS), Defensoría del Pueblo",3708,16,16,90,105,1,1,"Centro Poblado de Racrachaca, distrito de Aquia, provincia de Bolognesi",extractivo_caso (no ChatGPT),pobladores autoridades centro poblado racrachaca exigen compania minera antamina cma suscripcion convenio marco relacion institucional para recibir apoyo empresa debido encuentran area influencia mismo modo comunidad campesina racrachaca exige compania minera antamina comite regional defensa civil realizacion estudio riesgos para prevenir algun desastre zona derrumbes deslizamientos producen epoca lluvias
Caso_3709,Conflicto por presunto incumplimiento de acuerdos por parte de Compañía Minera Antamina y posible contaminación ambiental,Sí,No,No,"Caserío San Antonio de Juprog, distrito de San Marcos, provincia de Huari",['Antamina'],['Antamina'],1,2011-08-31,2013-02-28,Caso_3709,,SOCIOAMBIENTAL,Conflicto por presunto incumplimiento de acuerdos por parte de Compañía Minera Antamina y posible contaminación ambiental,,"Pobladores/as del Caserío San Antonio de Juprog, Compañía Minera Antamina S. A. (CMA), Comité de Desarrollo Social y Ambiental de Juprog S.A. (COMEA)","Dirección General de Asuntos Ambientales Mineros (DGAAM), Centro Nacional de Salud Ocupacional y Protección del Ambiente para la Salud (CENSOPAS), Dirección Regional de Salud","Gerencia de Recursos Naturales y Gestión del Medio Ambiente del Gobierno Regional de Ancash, Defensoría del Pueblo, Oficina General de Gestión Social del Ministerio de Energía y Minas (OGGS)",3709,18,18,90,108,1,1,"Caserío San Antonio de Juprog, distrito de San Marcos, provincia de Huari",extractivo_caso (no ChatGPT),conflicto presunto incumplimiento acuerdos parte compania minera antamina posible contaminacion ambiental
