caso_id,caso,departamento,tipo,n_meses,n_apariciones,es_socioambiental,menciona_mineria
321,"el alcalde, procedente del anexo de Porta Cruz, habría desarrollado obras y diversos beneficios sólo para dicho anexo, despertando el descontento de la población de los otros anexos y principalmente de los pobladores de la capital del distrito. Tal autoridad ha sido amenazada con comunicados, pintas en la municipalidad, cadenas a las puertas del local municipal, objetos de brujería y otros",Ayacucho,,1,1,0,0
322,"El Frente de Defensa ha cuestionado al alcalde porque supuestamente habría iniciado la remodelación del palacio municipal, sin autorización del Concejo Provincial y sin expediente técnico. Dicho Frente ha convocado a paro provincial y ha intentado tomar el local",Ayacucho,,1,1,0,0
1,"el alcalde fue denunciado por el delito contra el derecho de sufragio por haber supuestamente falsificado firmas para la inscripción de su candidatura, sin embargo dicho proceso (Instrucción N° 010-2002), que se ventilaba en Juzgado Penal de Chachapoyas fue archivado. A partir de ello, se vienen presentando una serie de cuestionamientos a la actual gestión municipal materializada a través de denuncias penales generando un ambiente de tensión en este distrito",Amazonas,,1,1,0,0
2,presuntas irregularidades en su gestión edilicia fueron el motivo de constantes cuestionamientos por la población en general. Ello devino en la apertura de un proceso de vacancia que fue declarado fundado el 08.03.04 por el Concejo Provincial con 10 votos a favor y 01 en contra,Amazonas,,1,1,0,0
2645,"supuesta falta de transparencia en la gestión del alcalde, además de las múltiples denuncias interpuestas contra la autoridad edil, las mismas que han sido archivadas en su mayoría. Al respecto con fecha 04 de mayo de 2004 los integrantes del Frente de Desarrollo y Defensa del distrito de Huallanca y caseríos-FEDE’IHC, comunicaron a las autoridades de la Región que se está programando un paro distrital por la inacción de las entidades estatales",Áncash,,5,6,0,0
2646,"Autoridad: Alcalde de la provincia de Huaylas, Roberto Espejo Ramírez Población: descontento de un sector de la población por gestión municipal. Además se ha difundido un audio en el que aparentemente se demostraba que el alcalde coaccionaba al propietario de un medio de comunicación, expresándose en forma supuestamente despectiva de la población Carasina. Ante tal situación el 05 de mayo de 2004 la población se acantonó en el Palacio Municipal impidiendo la salida del alcalde y los regidores, exigiendo se programe una audiencia popular. Fecha: abril-mayo 2004",Áncash,,4,4,0,0
2647,"supuestas irregularidades en el manejo presupuestario. El día 04 de diciembre del año 2001 la Municipalidad distrital de Quillo fue violentada y tomada por los pobladores, procediéndose a bloquear las puertas de ingreso. Los motivos del proceder de la población se debieron a los supuestos malos manejos presupuestarios que realizaba el alcalde. Actualmente el Representante de la Municipalidad distrital de Quillo despacha en oficinas alquiladas en el mismo distrito, toda vez que su local central permanece cerrado, y en constante vigilancia por parte de la población. El alcalde tiene proceso penal abierto",Áncash,,1,1,0,0
2648,"supuestas irregularidades en el manejo de los recursos de la municipalidad. Hace un año y medio aproximadamente el alcalde distrital de Samanco viene despachando en un local alquilado en el Centro Poblado Menor de Huambacho (distrito de Samanco), debido a que la población tiene cerrada la Municipalidad. Actualmente existe una aparente calma en la población, en tanto el Poder Judicial expida el fallo correspondiente",Áncash,,2,2,0,0
2649,"asesinato del periodista Antonio De la Torre Echandia, ocurrido en la ciudad de Yungay el pasado 14 de febrero de 2004. La población acusa al alcalde de Yungay de ser el autor intelectual del delito y en señal de protesta y presión levantó un muro de adobe frente a la puerta de ingreso de la Municipalidad Provincial de Yungay, impidiendo el paso a dicho recinto. Se exigía la vacancia del cargo de alcalde. El alcalde se encuentra detenido actualmente y denunciado por asesinato. El muro fue demolido por los propios pobladores",Áncash,,6,6,0,0
224,"problemas referidos a la seguridad, orden y delimitación de áreas",Arequipa,,1,1,0,0
